initial,last,min
1.4514036,0.37684917,0.35952193
2.8486989,0.09261867,0.08283496
1.7975845,0.3598046,0.3598046
1.5735545,0.646603,0.6243726
2.0310843,0.025269909,0.017197771
1.980367,0.0023493564,0.0023493564
2.1026216,0.9702004,0.9207474
2.0690868,0.88425106,0.86928266
1.971554,0.08847005,0.08847005
1.4638913,0.04164205,0.04164205
1.9529577,0.29688,0.27378863
2.543777,0.5306758,0.5221204
1.8101436,0.84315294,0.8408893
2.5014992,1.4500766,1.4426235
1.8894048,0.97415704,0.95175076
1.5294107,0.07055684,0.055151194
2.519525,1.2230196,1.1595237
1.6526814,0.06373091,0.05376433
3.0496328,0.08347329,0.08347329
1.6484967,0.029775716,0.02101435
1.6264613,0.5108849,0.49861595
1.8556445,1.0686736,1.0344553
1.6287397,0.74334776,0.73818076
2.8170824,0.25243068,0.23324174
2.0205216,0.18751714,0.1650372
2.908635,0.24330565,0.22525656
1.7554665,1.149588,1.1250963
2.8176165,0.25555333,0.23220336
1.6510683,0.11218388,0.093924366
1.700259,0.065779954,0.06437948
1.9840095,0.48375556,0.4436789
2.4354584,0.975919,0.96082103
1.7919466,0.18277843,0.168562
5.123648,1.973002,1.9221506
3.020813,1.3322937,1.2584952
2.0623617,0.18298946,0.14752783
1.9759262,0.7077276,0.6985487
2.4024363,1.092484,1.0843706
2.6201274,0.4009466,0.34545168
1.9924976,0.073538594,0.066518925
1.7185196,0.9807858,0.97124934
2.0939982,0.2621166,0.23619942
2.131529,0.32747927,0.32747927
1.7404137,0.1584773,0.13255024
1.8290492,0.08613483,0.08613483
2.5357463,0.5638994,0.53770965
2.740059,0.24370995,0.23114501
2.2024424,1.0519824,1.0107566
4.209926,1.5051724,1.5041319
2.405757,1.2666055,1.2501081
